year,tbill3m_yield
1920,5.42
1921,4.83
1922,3.47
1923,3.93
1924,2.77
1925,3.03
1926,3.23
1927,3.10
1928,3.97
1929,4.42
1930,2.23
1931,1.40
1932,0.88
1933,0.52
1934,0.26
1935,0.14
1936,0.14
1937,0.45
1938,0.05
1939,0.02
1940,0.01
1941,0.10
1942,0.33
1943,0.37
1944,0.38
1945,0.38
1946,0.38
1947,0.59
1948,1.04
1949,1.10
1950,1.22
1951,1.55
1952,1.77
1953,1.93
1954,0.95
1955,1.75
1956,2.66
1957,3.27
1958,1.84
1959,3.41
1960,2.93
1961,2.38
1962,2.78
1963,3.16
1964,3.55
1965,3.95
1966,4.88
1967,4.32
1968,5.34
1969,6.68
1970,6.46
1971,4.35
1972,4.07
1973,7.04
1974,7.89
1975,5.84
1976,4.99
1977,5.27
1978,7.22
1979,10.04
1980,11.51
1981,14.03
1982,10.69
1983,8.63
1984,9.58
1985,7.48
1986,5.98
1987,5.82
1988,6.69
1989,8.12
1990,7.51
1991,5.42
1992,3.45
1993,3.02
1994,4.29
1995,5.51
1996,5.02
1997,5.07
1998,4.81
1999,4.66
2000,5.85
2001,3.45
2002,1.62
